Time [s],Channel 0
2025-04-05T16:21:03.939735300+00:00,1
2025-04-05T16:21:05.563099508+00:00,0
2025-04-05T16:21:05.566535175+00:00,1
2025-04-05T16:21:05.568328217+00:00,0
2025-04-05T16:21:05.568711967+00:00,1
2025-04-05T16:21:05.569196342+00:00,0
2025-04-05T16:21:05.569580967+00:00,1
2025-04-05T16:21:05.570065050+00:00,0
2025-04-05T16:21:05.570449467+00:00,1
2025-04-05T16:21:05.571806133+00:00,0
2025-04-05T16:21:05.572190800+00:00,1
2025-04-05T16:21:05.573548383+00:00,0
2025-04-05T16:21:05.573932217+00:00,1
2025-04-05T16:21:05.574416633+00:00,0
2025-04-05T16:21:05.574800967+00:00,1
2025-04-05T16:21:05.576157300+00:00,0
2025-04-05T16:21:05.576542258+00:00,1
2025-04-05T16:21:05.577027133+00:00,0
2025-04-05T16:21:05.577410925+00:00,1
2025-04-05T16:21:05.577895175+00:00,0
2025-04-05T16:21:05.578279717+00:00,1
2025-04-05T16:21:05.578763133+00:00,0
2025-04-05T16:21:05.579148425+00:00,1
2025-04-05T16:21:05.580504758+00:00,0
2025-04-05T16:21:05.580912633+00:00,1
2025-04-05T16:21:05.581374008+00:00,0
2025-04-05T16:21:05.581758467+00:00,1
2025-04-05T16:21:05.582242092+00:00,0
2025-04-05T16:21:05.582627092+00:00,1
2025-04-05T16:21:05.583984050+00:00,0
2025-04-05T16:21:05.584367967+00:00,1
2025-04-05T16:21:05.584853133+00:00,0
2025-04-05T16:21:05.585236467+00:00,1
2025-04-05T16:21:05.586594133+00:00,0
2025-04-05T16:21:05.586977967+00:00,1
2025-04-05T16:21:05.587462383+00:00,0
2025-04-05T16:21:05.587846467+00:00,1
2025-04-05T16:21:05.589203633+00:00,0
2025-04-05T16:21:05.589587592+00:00,1
2025-04-05T16:21:05.590072633+00:00,0
2025-04-05T16:21:05.590456092+00:00,1
2025-04-05T16:21:05.590940175+00:00,0
2025-04-05T16:21:05.591324550+00:00,1
2025-04-05T16:21:05.592682342+00:00,0
2025-04-05T16:21:05.593065592+00:00,1
2025-04-05T16:21:05.593551675+00:00,0
2025-04-05T16:21:05.593934258+00:00,1
2025-04-05T16:21:05.594418467+00:00,0
2025-04-05T16:21:05.594803050+00:00,1
2025-04-05T16:21:05.595287175+00:00,0
2025-04-05T16:21:05.595671633+00:00,1
2025-04-05T16:21:05.596156633+00:00,0
2025-04-05T16:21:05.596540175+00:00,1
2025-04-05T16:21:05.597897050+00:00,0
2025-04-05T16:21:05.598281258+00:00,1
2025-04-05T16:21:05.599637217+00:00,0
2025-04-05T16:21:05.600022092+00:00,1
2025-04-05T16:21:05.600506758+00:00,0
2025-04-05T16:21:05.600890717+00:00,1
2025-04-05T16:21:05.601376175+00:00,0
2025-04-05T16:21:05.601759133+00:00,1
2025-04-05T16:21:05.603115717+00:00,0
2025-04-05T16:21:05.603500342+00:00,1
2025-04-05T16:21:05.604856592+00:00,0
2025-04-05T16:21:05.605241175+00:00,1
2025-04-05T16:21:05.605724717+00:00,0
2025-04-05T16:21:05.606109758+00:00,1
2025-04-05T16:21:05.606594383+00:00,0
2025-04-05T16:21:05.606978133+00:00,1
2025-04-05T16:21:05.607462842+00:00,0
2025-04-05T16:21:05.607846800+00:00,1
2025-04-05T16:21:05.609204092+00:00,0
2025-04-05T16:21:05.609587967+00:00,1
2025-04-05T16:21:05.610072550+00:00,0
2025-04-05T16:21:05.610456592+00:00,1
2025-04-05T16:21:05.611813300+00:00,0
2025-04-05T16:21:05.612197633+00:00,1
2025-04-05T16:21:05.613554883+00:00,0
2025-04-05T16:21:05.613938717+00:00,1
2025-04-05T16:21:05.615295633+00:00,0
2025-04-05T16:21:05.615679842+00:00,1
2025-04-05T16:21:05.616164550+00:00,0
2025-04-05T16:21:05.616548175+00:00,1
2025-04-05T16:21:05.617035592+00:00,0
2025-04-05T16:21:05.617417883+00:00,1
2025-04-05T16:21:05.692433300+00:00,0
2025-04-05T16:21:05.695868258+00:00,1
2025-04-05T16:21:05.697659925+00:00,0
2025-04-05T16:21:05.698045300+00:00,1
2025-04-05T16:21:05.698528633+00:00,0
2025-04-05T16:21:05.698913842+00:00,1
2025-04-05T16:21:05.699398467+00:00,0
2025-04-05T16:21:05.699782258+00:00,1
2025-04-05T16:21:05.701138550+00:00,0
2025-04-05T16:21:05.701523258+00:00,1
2025-04-05T16:21:05.702880175+00:00,0
2025-04-05T16:21:05.703264717+00:00,1
2025-04-05T16:21:05.703749133+00:00,0
2025-04-05T16:21:05.704133092+00:00,1
2025-04-05T16:21:05.705490133+00:00,0
2025-04-05T16:21:05.705874300+00:00,1
2025-04-05T16:21:05.706358467+00:00,0
2025-04-05T16:21:05.706742633+00:00,1
2025-04-05T16:21:05.707227258+00:00,0
2025-04-05T16:21:05.707611383+00:00,1
2025-04-05T16:21:05.708096467+00:00,0
2025-04-05T16:21:05.708479883+00:00,1
2025-04-05T16:21:05.709836300+00:00,0
2025-04-05T16:21:05.710221175+00:00,1
2025-04-05T16:21:05.710705383+00:00,0
2025-04-05T16:21:05.711090050+00:00,1
2025-04-05T16:21:05.711573508+00:00,0
2025-04-05T16:21:05.711958467+00:00,1
2025-04-05T16:21:05.713314800+00:00,0
2025-04-05T16:21:05.713699592+00:00,1
2025-04-05T16:21:05.714183092+00:00,0
2025-04-05T16:21:05.714568467+00:00,1
2025-04-05T16:21:05.715925217+00:00,0
2025-04-05T16:21:05.716309758+00:00,1
2025-04-05T16:21:05.716794258+00:00,0
2025-04-05T16:21:05.717178133+00:00,1
2025-04-05T16:21:05.718534633+00:00,0
2025-04-05T16:21:05.718918842+00:00,1
2025-04-05T16:21:05.719404383+00:00,0
2025-04-05T16:21:05.719787717+00:00,1
2025-04-05T16:21:05.720272133+00:00,0
2025-04-05T16:21:05.720656217+00:00,1
2025-04-05T16:21:05.722013133+00:00,0
2025-04-05T16:21:05.722397342+00:00,1
2025-04-05T16:21:05.722882842+00:00,0
2025-04-05T16:21:05.723265842+00:00,1
2025-04-05T16:21:05.723750592+00:00,0
2025-04-05T16:21:05.724134675+00:00,1
2025-04-05T16:21:05.724619342+00:00,0
2025-04-05T16:21:05.725003175+00:00,1
2025-04-05T16:21:05.725488342+00:00,0
2025-04-05T16:21:05.725871883+00:00,1
