Time [s],Channel 0
2025-04-05T16:19:30.364502600+00:00,1
2025-04-05T16:19:30.719672475+00:00,0
2025-04-05T16:19:30.723182475+00:00,1
2025-04-05T16:19:30.724900850+00:00,0
2025-04-05T16:19:30.725287183+00:00,1
2025-04-05T16:19:30.725768808+00:00,0
2025-04-05T16:19:30.726155892+00:00,1
2025-04-05T16:19:30.726639558+00:00,0
2025-04-05T16:19:30.727097892+00:00,1
2025-04-05T16:19:30.728379558+00:00,0
2025-04-05T16:19:30.728838100+00:00,1
2025-04-05T16:19:30.730121350+00:00,0
2025-04-05T16:19:30.730506892+00:00,1
2025-04-05T16:19:30.730989308+00:00,0
2025-04-05T16:19:30.731375392+00:00,1
2025-04-05T16:19:30.732731808+00:00,0
2025-04-05T16:19:30.733116642+00:00,1
2025-04-05T16:19:30.733599975+00:00,0
2025-04-05T16:19:30.733985142+00:00,1
2025-04-05T16:19:30.734467017+00:00,0
2025-04-05T16:19:30.734853725+00:00,1
2025-04-05T16:19:30.735336433+00:00,0
2025-04-05T16:19:30.735792058+00:00,1
2025-04-05T16:19:30.737076892+00:00,0
2025-04-05T16:19:30.737463392+00:00,1
2025-04-05T16:19:30.737945808+00:00,0
2025-04-05T16:19:30.738331933+00:00,1
2025-04-05T16:19:30.738816058+00:00,0
2025-04-05T16:19:30.739200392+00:00,1
2025-04-05T16:19:30.740555892+00:00,0
2025-04-05T16:19:30.740941225+00:00,1
2025-04-05T16:19:30.741424683+00:00,0
2025-04-05T16:19:30.741810017+00:00,1
2025-04-05T16:19:30.743164642+00:00,0
2025-04-05T16:19:30.743551017+00:00,1
2025-04-05T16:19:30.744035142+00:00,0
2025-04-05T16:19:30.744419433+00:00,1
2025-04-05T16:19:30.745774183+00:00,0
2025-04-05T16:19:30.746160350+00:00,1
2025-04-05T16:19:30.746643017+00:00,0
2025-04-05T16:19:30.747029017+00:00,1
2025-04-05T16:19:30.747512267+00:00,0
2025-04-05T16:19:30.747897517+00:00,1
2025-04-05T16:19:30.749252475+00:00,0
2025-04-05T16:19:30.749638600+00:00,1
2025-04-05T16:19:30.750121892+00:00,0
2025-04-05T16:19:30.750507225+00:00,1
2025-04-05T16:19:30.750990558+00:00,0
2025-04-05T16:19:30.751375600+00:00,1
2025-04-05T16:19:30.751858933+00:00,0
2025-04-05T16:19:30.752244058+00:00,1
2025-04-05T16:19:30.752727225+00:00,0
2025-04-05T16:19:30.753112392+00:00,1
2025-04-05T16:19:30.753595600+00:00,0
2025-04-05T16:19:30.753981142+00:00,1
2025-04-05T16:19:30.755335975+00:00,0
2025-04-05T16:19:30.755722267+00:00,1
2025-04-05T16:19:30.756206267+00:00,0
2025-04-05T16:19:30.756590725+00:00,1
2025-04-05T16:19:30.757073725+00:00,0
2025-04-05T16:19:30.757459267+00:00,1
2025-04-05T16:19:30.758813975+00:00,0
2025-04-05T16:19:30.759199975+00:00,1
2025-04-05T16:19:30.760554767+00:00,0
2025-04-05T16:19:30.760941058+00:00,1
2025-04-05T16:19:30.761424267+00:00,0
2025-04-05T16:19:30.761809558+00:00,1
2025-04-05T16:19:30.762292600+00:00,0
2025-04-05T16:19:30.762678017+00:00,1
2025-04-05T16:19:30.764032975+00:00,0
2025-04-05T16:19:30.764419017+00:00,1
2025-04-05T16:19:30.765774017+00:00,0
2025-04-05T16:19:30.766159975+00:00,1
2025-04-05T16:19:30.766644225+00:00,0
2025-04-05T16:19:30.767028558+00:00,1
2025-04-05T16:19:30.768383642+00:00,0
2025-04-05T16:19:30.768768975+00:00,1
2025-04-05T16:19:30.770125017+00:00,0
2025-04-05T16:19:30.770510267+00:00,1
2025-04-05T16:19:30.771866517+00:00,0
2025-04-05T16:19:30.772251058+00:00,1
2025-04-05T16:19:30.772735142+00:00,0
2025-04-05T16:19:30.773119642+00:00,1
2025-04-05T16:19:30.773605392+00:00,0
2025-04-05T16:19:30.773989350+00:00,1
2025-04-05T16:19:30.849004308+00:00,0
2025-04-05T16:19:30.852440058+00:00,1
2025-04-05T16:19:30.854231517+00:00,0
2025-04-05T16:19:30.854617350+00:00,1
2025-04-05T16:19:30.855101350+00:00,0
2025-04-05T16:19:30.855485975+00:00,1
2025-04-05T16:19:30.855968808+00:00,0
2025-04-05T16:19:30.856354683+00:00,1
2025-04-05T16:19:30.857709808+00:00,0
2025-04-05T16:19:30.858095600+00:00,1
2025-04-05T16:19:30.859450308+00:00,0
2025-04-05T16:19:30.859836892+00:00,1
2025-04-05T16:19:30.860319767+00:00,0
2025-04-05T16:19:30.860705392+00:00,1
2025-04-05T16:19:30.862060017+00:00,0
2025-04-05T16:19:30.862518058+00:00,1
2025-04-05T16:19:30.862930017+00:00,0
2025-04-05T16:19:30.863315142+00:00,1
2025-04-05T16:19:30.863798183+00:00,0
2025-04-05T16:19:30.864183517+00:00,1
2025-04-05T16:19:30.864667683+00:00,0
2025-04-05T16:19:30.865052267+00:00,1
2025-04-05T16:19:30.866407100+00:00,0
2025-04-05T16:19:30.866793475+00:00,1
2025-04-05T16:19:30.867276850+00:00,0
2025-04-05T16:19:30.867661642+00:00,1
2025-04-05T16:19:30.868144808+00:00,0
2025-04-05T16:19:30.868530017+00:00,1
2025-04-05T16:19:30.869885558+00:00,0
2025-04-05T16:19:30.870271433+00:00,1
2025-04-05T16:19:30.870754975+00:00,0
2025-04-05T16:19:30.871140183+00:00,1
2025-04-05T16:19:30.872495767+00:00,0
2025-04-05T16:19:30.872881475+00:00,1
2025-04-05T16:19:30.873363683+00:00,0
2025-04-05T16:19:30.873750267+00:00,1
2025-04-05T16:19:30.875104850+00:00,0
2025-04-05T16:19:30.875491308+00:00,1
2025-04-05T16:19:30.875973933+00:00,0
2025-04-05T16:19:30.876359850+00:00,1
2025-04-05T16:19:30.876842808+00:00,0
2025-04-05T16:19:30.877228600+00:00,1
2025-04-05T16:19:30.878583683+00:00,0
2025-04-05T16:19:30.878969892+00:00,1
2025-04-05T16:19:30.879452683+00:00,0
2025-04-05T16:19:30.879838350+00:00,1
2025-04-05T16:19:30.880321725+00:00,0
2025-04-05T16:19:30.880778475+00:00,1
2025-04-05T16:19:30.881190517+00:00,0
2025-04-05T16:19:30.881575975+00:00,1
2025-04-05T16:19:30.882059350+00:00,0
2025-04-05T16:19:30.882444767+00:00,1
2025-04-05T16:19:30.882927850+00:00,0
2025-04-05T16:19:30.883313350+00:00,1
2025-04-05T16:19:30.884668642+00:00,0
2025-04-05T16:19:30.885125808+00:00,1
2025-04-05T16:19:30.885537683+00:00,0
2025-04-05T16:19:30.885922683+00:00,1
2025-04-05T16:19:30.886406308+00:00,0
2025-04-05T16:19:30.886791308+00:00,1
2025-04-05T16:19:30.888145975+00:00,0
2025-04-05T16:19:30.888532308+00:00,1
2025-04-05T16:19:30.889886892+00:00,0
2025-04-05T16:19:30.890273475+00:00,1
2025-04-05T16:19:30.890756683+00:00,0
2025-04-05T16:19:30.891142017+00:00,1
2025-04-05T16:19:30.891624642+00:00,0
2025-04-05T16:19:30.892010558+00:00,1
2025-04-05T16:19:30.893366100+00:00,0
2025-04-05T16:19:30.893751892+00:00,1
2025-04-05T16:19:30.895107392+00:00,0
2025-04-05T16:19:30.895493100+00:00,1
2025-04-05T16:19:30.895976267+00:00,0
2025-04-05T16:19:30.896361683+00:00,1
2025-04-05T16:19:30.897717100+00:00,0
2025-04-05T16:19:30.898102517+00:00,1
2025-04-05T16:19:30.899457975+00:00,0
2025-04-05T16:19:30.899843558+00:00,1
2025-04-05T16:19:30.901199267+00:00,0
2025-04-05T16:19:30.901584225+00:00,1
2025-04-05T16:19:30.902068475+00:00,0
2025-04-05T16:19:30.902452642+00:00,1
2025-04-05T16:19:30.902937392+00:00,0
2025-04-05T16:19:30.903322350+00:00,1
2025-04-05T16:19:30.978327933+00:00,0
2025-04-05T16:19:30.981764517+00:00,1
2025-04-05T16:19:30.983555558+00:00,0
2025-04-05T16:19:30.983941058+00:00,1
2025-04-05T16:19:30.984424433+00:00,0
2025-04-05T16:19:30.984881433+00:00,1
2025-04-05T16:19:30.985293433+00:00,0
2025-04-05T16:19:30.985751517+00:00,1
2025-04-05T16:19:30.987032725+00:00,0
2025-04-05T16:19:30.987488933+00:00,1
2025-04-05T16:19:30.988773850+00:00,0
2025-04-05T16:19:30.989159308+00:00,1
2025-04-05T16:19:30.989642142+00:00,0
2025-04-05T16:19:30.990027892+00:00,1
2025-04-05T16:19:30.991383267+00:00,0
2025-04-05T16:19:30.991839933+00:00,1
2025-04-05T16:19:30.992251975+00:00,0
2025-04-05T16:19:30.992637392+00:00,1
2025-04-05T16:19:30.993121683+00:00,0
2025-04-05T16:19:30.993505808+00:00,1
2025-04-05T16:19:30.993988767+00:00,0
2025-04-05T16:19:30.994447683+00:00,1
2025-04-05T16:19:30.995728308+00:00,0
2025-04-05T16:19:30.996187392+00:00,1
2025-04-05T16:19:30.996599975+00:00,0
2025-04-05T16:19:30.996983892+00:00,1
2025-04-05T16:19:30.997467142+00:00,0
2025-04-05T16:19:30.997852475+00:00,1
2025-04-05T16:19:30.999206975+00:00,0
2025-04-05T16:19:30.999665142+00:00,1
2025-04-05T16:19:31.000076642+00:00,0
2025-04-05T16:19:31.000533850+00:00,1
2025-04-05T16:19:31.001817058+00:00,0
2025-04-05T16:19:31.002275350+00:00,1
2025-04-05T16:19:31.002686350+00:00,0
2025-04-05T16:19:31.003071017+00:00,1
2025-04-05T16:19:31.004425600+00:00,0
2025-04-05T16:19:31.004812392+00:00,1
2025-04-05T16:19:31.005295808+00:00,0
2025-04-05T16:19:31.005680892+00:00,1
2025-04-05T16:19:31.006164642+00:00,0
2025-04-05T16:19:31.006549558+00:00,1
2025-04-05T16:19:31.007904392+00:00,0
2025-04-05T16:19:31.008360808+00:00,1
