Time [s],Channel 0
2025-04-05T16:21:46.688683400+00:00,1
2025-04-05T16:21:47.671398900+00:00,0
2025-04-05T16:21:47.674834775+00:00,1
2025-04-05T16:21:47.676626567+00:00,0
2025-04-05T16:21:47.677012025+00:00,1
2025-04-05T16:21:47.677496400+00:00,0
2025-04-05T16:21:47.677880525+00:00,1
2025-04-05T16:21:47.678364192+00:00,0
2025-04-05T16:21:47.678748817+00:00,1
2025-04-05T16:21:47.680103567+00:00,0
2025-04-05T16:21:47.680489525+00:00,1
2025-04-05T16:21:47.681845275+00:00,0
2025-04-05T16:21:47.682230358+00:00,1
2025-04-05T16:21:47.682713692+00:00,0
2025-04-05T16:21:47.683098733+00:00,1
2025-04-05T16:21:47.684454108+00:00,0
2025-04-05T16:21:47.684839317+00:00,1
2025-04-05T16:21:47.685321775+00:00,0
2025-04-05T16:21:47.685707567+00:00,1
2025-04-05T16:21:47.686192858+00:00,0
2025-04-05T16:21:47.686576108+00:00,1
2025-04-05T16:21:47.687060275+00:00,0
2025-04-05T16:21:47.687444650+00:00,1
2025-04-05T16:21:47.688799650+00:00,0
2025-04-05T16:21:47.689185650+00:00,1
2025-04-05T16:21:47.689670567+00:00,0
2025-04-05T16:21:47.690054192+00:00,1
2025-04-05T16:21:47.690539775+00:00,0
2025-04-05T16:21:47.690922608+00:00,1
2025-04-05T16:21:47.692278317+00:00,0
2025-04-05T16:21:47.692663483+00:00,1
2025-04-05T16:21:47.693147067+00:00,0
2025-04-05T16:21:47.693531983+00:00,1
2025-04-05T16:21:47.694888108+00:00,0
2025-04-05T16:21:47.695272650+00:00,1
2025-04-05T16:21:47.695756525+00:00,0
2025-04-05T16:21:47.696141150+00:00,1
2025-04-05T16:21:47.697496358+00:00,0
2025-04-05T16:21:47.697882150+00:00,1
2025-04-05T16:21:47.698366317+00:00,0
2025-04-05T16:21:47.698750817+00:00,1
2025-04-05T16:21:47.699235608+00:00,0
2025-04-05T16:21:47.699619067+00:00,1
2025-04-05T16:21:47.700974900+00:00,0
2025-04-05T16:21:47.701359942+00:00,1
2025-04-05T16:21:47.701843483+00:00,0
2025-04-05T16:21:47.702228275+00:00,1
2025-04-05T16:21:47.702713692+00:00,0
2025-04-05T16:21:47.703097233+00:00,1
2025-04-05T16:21:47.703580983+00:00,0
2025-04-05T16:21:47.703965525+00:00,1
2025-04-05T16:21:47.704449400+00:00,0
2025-04-05T16:21:47.704834275+00:00,1
2025-04-05T16:21:47.705319608+00:00,0
2025-04-05T16:21:47.705702817+00:00,1
2025-04-05T16:21:47.707060317+00:00,0
2025-04-05T16:21:47.707443817+00:00,1
2025-04-05T16:21:47.708799442+00:00,0
2025-04-05T16:21:47.709185067+00:00,1
2025-04-05T16:21:47.709669525+00:00,0
2025-04-05T16:21:47.710053567+00:00,1
2025-04-05T16:21:47.711409983+00:00,0
2025-04-05T16:21:47.711794317+00:00,1
2025-04-05T16:21:47.713149733+00:00,0
2025-04-05T16:21:47.713535067+00:00,1
2025-04-05T16:21:47.714019733+00:00,0
2025-04-05T16:21:47.714403483+00:00,1
2025-04-05T16:21:47.714887942+00:00,0
2025-04-05T16:21:47.715271858+00:00,1
2025-04-05T16:21:47.716627650+00:00,0
2025-04-05T16:21:47.717012483+00:00,1
2025-04-05T16:21:47.718368108+00:00,0
2025-04-05T16:21:47.718752942+00:00,1
2025-04-05T16:21:47.720109817+00:00,0
2025-04-05T16:21:47.720493858+00:00,1
2025-04-05T16:21:47.721850608+00:00,0
2025-04-05T16:21:47.722234733+00:00,1
2025-04-05T16:21:47.723590025+00:00,0
2025-04-05T16:21:47.723975275+00:00,1
2025-04-05T16:21:47.725330817+00:00,0
2025-04-05T16:21:47.725716275+00:00,1
2025-04-05T16:21:47.726200442+00:00,0
2025-04-05T16:21:47.726584733+00:00,1
2025-04-05T16:21:47.727070358+00:00,0
2025-04-05T16:21:47.727454608+00:00,1
2025-04-05T16:21:47.802463067+00:00,0
2025-04-05T16:21:47.805997442+00:00,1
2025-04-05T16:21:47.807692567+00:00,0
2025-04-05T16:21:47.808175650+00:00,1
2025-04-05T16:21:47.808561525+00:00,0
2025-04-05T16:21:47.808971483+00:00,1
2025-04-05T16:21:47.809431192+00:00,0
2025-04-05T16:21:47.809914275+00:00,1
2025-04-05T16:21:47.811170608+00:00,0
2025-04-05T16:21:47.811651483+00:00,1
2025-04-05T16:21:47.812911108+00:00,0
2025-04-05T16:21:47.813394192+00:00,1
2025-04-05T16:21:47.813780150+00:00,0
2025-04-05T16:21:47.814261442+00:00,1
2025-04-05T16:21:47.815521858+00:00,0
2025-04-05T16:21:47.815931983+00:00,1
2025-04-05T16:21:47.816393233+00:00,0
2025-04-05T16:21:47.816800608+00:00,1
2025-04-05T16:21:47.817259567+00:00,0
2025-04-05T16:21:47.817669025+00:00,1
2025-04-05T16:21:47.818156483+00:00,0
2025-04-05T16:21:47.818537442+00:00,1
2025-04-05T16:21:47.819868025+00:00,0
2025-04-05T16:21:47.820278358+00:00,1
2025-04-05T16:21:47.820737025+00:00,0
