Time [s],Channel 0
2025-04-05T16:18:56.142678900+00:00,1
2025-04-05T16:18:57.170154358+00:00,0
2025-04-05T16:18:57.173590567+00:00,1
2025-04-05T16:18:57.175381233+00:00,0
2025-04-05T16:18:57.175767650+00:00,1
2025-04-05T16:18:57.176250525+00:00,0
2025-04-05T16:18:57.176636483+00:00,1
2025-04-05T16:18:57.177119358+00:00,0
2025-04-05T16:18:57.177504858+00:00,1
2025-04-05T16:18:57.178859650+00:00,0
2025-04-05T16:18:57.179245942+00:00,1
2025-04-05T16:18:57.180601733+00:00,0
2025-04-05T16:18:57.180987067+00:00,1
2025-04-05T16:18:57.181470858+00:00,0
2025-04-05T16:18:57.181855692+00:00,1
2025-04-05T16:18:57.183211358+00:00,0
2025-04-05T16:18:57.183596858+00:00,1
2025-04-05T16:18:57.184080942+00:00,0
2025-04-05T16:18:57.184465400+00:00,1
2025-04-05T16:18:57.184948358+00:00,0
2025-04-05T16:18:57.185333858+00:00,1
2025-04-05T16:18:57.185817608+00:00,0
2025-04-05T16:18:57.186202817+00:00,1
2025-04-05T16:18:57.187558400+00:00,0
2025-04-05T16:18:57.187943900+00:00,1
2025-04-05T16:18:57.188427733+00:00,0
2025-04-05T16:18:57.188812442+00:00,1
2025-04-05T16:18:57.189295817+00:00,0
2025-04-05T16:18:57.189681067+00:00,1
2025-04-05T16:18:57.191036650+00:00,0
2025-04-05T16:18:57.191422192+00:00,1
2025-04-05T16:18:57.191905900+00:00,0
2025-04-05T16:18:57.192290608+00:00,1
2025-04-05T16:18:57.193646733+00:00,0
2025-04-05T16:18:57.194031775+00:00,1
2025-04-05T16:18:57.194515442+00:00,0
2025-04-05T16:18:57.194900358+00:00,1
2025-04-05T16:18:57.196256192+00:00,0
2025-04-05T16:18:57.196641692+00:00,1
2025-04-05T16:18:57.197125817+00:00,0
2025-04-05T16:18:57.197510400+00:00,1
2025-04-05T16:18:57.197993442+00:00,0
2025-04-05T16:18:57.198378775+00:00,1
2025-04-05T16:18:57.199734650+00:00,0
2025-04-05T16:18:57.200119817+00:00,1
2025-04-05T16:18:57.201475692+00:00,0
2025-04-05T16:18:57.201860567+00:00,1
2025-04-05T16:18:57.203216400+00:00,0
2025-04-05T16:18:57.203601942+00:00,1
2025-04-05T16:18:57.204085942+00:00,0
2025-04-05T16:18:57.204470483+00:00,1
2025-04-05T16:18:57.204954983+00:00,0
2025-04-05T16:18:57.205339275+00:00,1
