Time [s],Channel 0
2025-04-05T16:24:13.037683600+00:00,1
2025-04-05T16:24:14.245942475+00:00,0
2025-04-05T16:24:14.249403058+00:00,1
2025-04-05T16:24:14.251170683+00:00,0
2025-04-05T16:24:14.251580350+00:00,1
2025-04-05T16:24:14.252040683+00:00,0
2025-04-05T16:24:14.252449058+00:00,1
2025-04-05T16:24:14.252909600+00:00,0
2025-04-05T16:24:14.253317933+00:00,1
2025-04-05T16:24:14.254649767+00:00,0
2025-04-05T16:24:14.255059433+00:00,1
2025-04-05T16:24:14.256391808+00:00,0
2025-04-05T16:24:14.256800558+00:00,1
2025-04-05T16:24:14.257261058+00:00,0
2025-04-05T16:24:14.257669517+00:00,1
2025-04-05T16:24:14.259001142+00:00,0
2025-04-05T16:24:14.259411142+00:00,1
2025-04-05T16:24:14.259870892+00:00,0
2025-04-05T16:24:14.260279808+00:00,1
2025-04-05T16:24:14.260738600+00:00,0
2025-04-05T16:24:14.261148183+00:00,1
2025-04-05T16:24:14.261607475+00:00,0
2025-04-05T16:24:14.262016892+00:00,1
2025-04-05T16:24:14.263348392+00:00,0
2025-04-05T16:24:14.263758308+00:00,1
2025-04-05T16:24:14.264217392+00:00,0
2025-04-05T16:24:14.264626517+00:00,1
2025-04-05T16:24:14.265086142+00:00,0
2025-04-05T16:24:14.265495392+00:00,1
2025-04-05T16:24:14.266827392+00:00,0
2025-04-05T16:24:14.267235975+00:00,1
2025-04-05T16:24:14.267696725+00:00,0
2025-04-05T16:24:14.268104892+00:00,1
2025-04-05T16:24:14.269437142+00:00,0
2025-04-05T16:24:14.269846308+00:00,1
2025-04-05T16:24:14.270307058+00:00,0
2025-04-05T16:24:14.270715350+00:00,1
2025-04-05T16:24:14.272047892+00:00,0
2025-04-05T16:24:14.272456600+00:00,1
2025-04-05T16:24:14.272917225+00:00,0
2025-04-05T16:24:14.273325142+00:00,1
2025-04-05T16:24:14.273786392+00:00,0
2025-04-05T16:24:14.274194058+00:00,1
2025-04-05T16:24:14.275527350+00:00,0
2025-04-05T16:24:14.275935600+00:00,1
2025-04-05T16:24:14.276397100+00:00,0
2025-04-05T16:24:14.276804100+00:00,1
2025-04-05T16:24:14.277264350+00:00,0
2025-04-05T16:24:14.277673058+00:00,1
2025-04-05T16:24:14.278133933+00:00,0
2025-04-05T16:24:14.278541683+00:00,1
