Time [s],Channel 0
2025-04-05T16:23:41.031892500+00:00,1
2025-04-05T16:23:42.063903042+00:00,0
2025-04-05T16:23:42.067418750+00:00,1
2025-04-05T16:23:42.069130250+00:00,0
2025-04-05T16:23:42.069594917+00:00,1
2025-04-05T16:23:42.069999042+00:00,0
2025-04-05T16:23:42.070414250+00:00,1
2025-04-05T16:23:42.070868250+00:00,0
2025-04-05T16:23:42.071333500+00:00,1
2025-04-05T16:23:42.072608125+00:00,0
2025-04-05T16:23:42.073023500+00:00,1
2025-04-05T16:23:42.074349333+00:00,0
2025-04-05T16:23:42.074764250+00:00,1
2025-04-05T16:23:42.075218375+00:00,0
2025-04-05T16:23:42.075682583+00:00,1
2025-04-05T16:23:42.076959625+00:00,0
2025-04-05T16:23:42.077424042+00:00,1
2025-04-05T16:23:42.077829833+00:00,0
2025-04-05T16:23:42.078243042+00:00,1
2025-04-05T16:23:42.078697417+00:00,0
2025-04-05T16:23:42.079112250+00:00,1
2025-04-05T16:23:42.079565583+00:00,0
2025-04-05T16:23:42.080029625+00:00,1
2025-04-05T16:23:42.081305375+00:00,0
2025-04-05T16:23:42.081721500+00:00,1
2025-04-05T16:23:42.082175417+00:00,0
2025-04-05T16:23:42.082590625+00:00,1
2025-04-05T16:23:42.083044250+00:00,0
2025-04-05T16:23:42.083458542+00:00,1
2025-04-05T16:23:42.084783375+00:00,0
2025-04-05T16:23:42.085199167+00:00,1
2025-04-05T16:23:42.085653083+00:00,0
2025-04-05T16:23:42.086067583+00:00,1
2025-04-05T16:23:42.087393625+00:00,0
2025-04-05T16:23:42.087808792+00:00,1
2025-04-05T16:23:42.088262250+00:00,0
2025-04-05T16:23:42.088677875+00:00,1
2025-04-05T16:23:42.090003292+00:00,0
2025-04-05T16:23:42.090418167+00:00,1
2025-04-05T16:23:42.090873000+00:00,0
2025-04-05T16:23:42.091287458+00:00,1
2025-04-05T16:23:42.091741000+00:00,0
2025-04-05T16:23:42.092156542+00:00,1
2025-04-05T16:23:42.093481167+00:00,0
