Time [s],Channel 0
2025-04-05T16:22:49.555170800+00:00,1
2025-04-05T16:22:49.796183175+00:00,0
2025-04-05T16:22:49.799619425+00:00,1
2025-04-05T16:22:49.801410508+00:00,0
2025-04-05T16:22:49.801796425+00:00,1
2025-04-05T16:22:49.802281675+00:00,0
2025-04-05T16:22:49.802664842+00:00,1
2025-04-05T16:22:49.803148633+00:00,0
2025-04-05T16:22:49.803533258+00:00,1
2025-04-05T16:22:49.804889675+00:00,0
2025-04-05T16:22:49.805274300+00:00,1
2025-04-05T16:22:49.806629592+00:00,0
2025-04-05T16:22:49.807015092+00:00,1
2025-04-05T16:22:49.807499050+00:00,0
2025-04-05T16:22:49.807883425+00:00,1
2025-04-05T16:22:49.809239342+00:00,0
2025-04-05T16:22:49.809624592+00:00,1
2025-04-05T16:22:49.810108633+00:00,0
2025-04-05T16:22:49.810493133+00:00,1
2025-04-05T16:22:49.810976925+00:00,0
2025-04-05T16:22:49.811361925+00:00,1
2025-04-05T16:22:49.811846467+00:00,0
2025-04-05T16:22:49.812230258+00:00,1
2025-04-05T16:22:49.813586300+00:00,0
2025-04-05T16:22:49.813971133+00:00,1
2025-04-05T16:22:49.814455342+00:00,0
2025-04-05T16:22:49.814839967+00:00,1
2025-04-05T16:22:49.815324050+00:00,0
2025-04-05T16:22:49.815708342+00:00,1
2025-04-05T16:22:49.817064508+00:00,0
2025-04-05T16:22:49.817449258+00:00,1
2025-04-05T16:22:49.817933508+00:00,0
2025-04-05T16:22:49.818317508+00:00,1
2025-04-05T16:22:49.819673133+00:00,0
2025-04-05T16:22:49.820058508+00:00,1
2025-04-05T16:22:49.820542925+00:00,0
2025-04-05T16:22:49.820927008+00:00,1
2025-04-05T16:22:49.822282883+00:00,0
2025-04-05T16:22:49.822668050+00:00,1
2025-04-05T16:22:49.823151883+00:00,0
2025-04-05T16:22:49.823536675+00:00,1
2025-04-05T16:22:49.824020758+00:00,0
2025-04-05T16:22:49.824405175+00:00,1
2025-04-05T16:22:49.825762175+00:00,0
2025-04-05T16:22:49.826146050+00:00,1
2025-04-05T16:22:49.826630967+00:00,0
2025-04-05T16:22:49.827014758+00:00,1
2025-04-05T16:22:49.827498967+00:00,0
2025-04-05T16:22:49.827883217+00:00,1
2025-04-05T16:22:49.828367883+00:00,0
2025-04-05T16:22:49.828752092+00:00,1
2025-04-05T16:22:49.829235258+00:00,0
2025-04-05T16:22:49.829620383+00:00,1
2025-04-05T16:22:49.830975883+00:00,0
2025-04-05T16:22:49.831361175+00:00,1
2025-04-05T16:22:49.831846592+00:00,0
2025-04-05T16:22:49.832229592+00:00,1
2025-04-05T16:22:49.833585758+00:00,0
2025-04-05T16:22:49.833970425+00:00,1
2025-04-05T16:22:49.835326675+00:00,0
2025-04-05T16:22:49.835711258+00:00,1
2025-04-05T16:22:49.837068258+00:00,0
2025-04-05T16:22:49.837452425+00:00,1
2025-04-05T16:22:49.838808467+00:00,0
2025-04-05T16:22:49.839193300+00:00,1
2025-04-05T16:22:49.839677633+00:00,0
2025-04-05T16:22:49.840062092+00:00,1
2025-04-05T16:22:49.840545758+00:00,0
2025-04-05T16:22:49.840930592+00:00,1
2025-04-05T16:22:49.841414342+00:00,0
2025-04-05T16:22:49.841799133+00:00,1
2025-04-05T16:22:49.842283967+00:00,0
2025-04-05T16:22:49.842668050+00:00,1
2025-04-05T16:22:49.844025550+00:00,0
2025-04-05T16:22:49.844409550+00:00,1
2025-04-05T16:22:49.844894425+00:00,0
2025-04-05T16:22:49.845278342+00:00,1
2025-04-05T16:22:49.846633592+00:00,0
2025-04-05T16:22:49.847019425+00:00,1
2025-04-05T16:22:49.848375967+00:00,0
2025-04-05T16:22:49.848760758+00:00,1
2025-04-05T16:22:49.849245717+00:00,0
2025-04-05T16:22:49.849629383+00:00,1
2025-04-05T16:22:49.850114925+00:00,0
2025-04-05T16:22:49.850499217+00:00,1
2025-04-05T16:22:49.925513092+00:00,0
2025-04-05T16:22:49.928950592+00:00,1
2025-04-05T16:22:49.930742592+00:00,0
2025-04-05T16:22:49.931127800+00:00,1
2025-04-05T16:22:49.931611925+00:00,0
2025-04-05T16:22:49.931996133+00:00,1
2025-04-05T16:22:49.932481383+00:00,0
2025-04-05T16:22:49.932864508+00:00,1
2025-04-05T16:22:49.934219758+00:00,0
2025-04-05T16:22:49.934605258+00:00,1
2025-04-05T16:22:49.935961217+00:00,0
2025-04-05T16:22:49.936346133+00:00,1
2025-04-05T16:22:49.936830883+00:00,0
2025-04-05T16:22:49.937214800+00:00,1
2025-04-05T16:22:49.938570300+00:00,0
2025-04-05T16:22:49.938955967+00:00,1
2025-04-05T16:22:49.939441008+00:00,0
2025-04-05T16:22:49.939824217+00:00,1
2025-04-05T16:22:49.940308217+00:00,0
2025-04-05T16:22:49.940692633+00:00,1
2025-04-05T16:22:49.941176717+00:00,0
2025-04-05T16:22:49.941561133+00:00,1
2025-04-05T16:22:49.942916675+00:00,0
