Time [s],Channel 0
2025-04-05T16:22:19.188527600+00:00,1
2025-04-05T16:22:19.630253308+00:00,0
2025-04-05T16:22:19.633689183+00:00,1
2025-04-05T16:22:19.635481017+00:00,0
2025-04-05T16:22:19.635866100+00:00,1
2025-04-05T16:22:19.636349725+00:00,0
2025-04-05T16:22:19.636734725+00:00,1
2025-04-05T16:22:19.637218808+00:00,0
2025-04-05T16:22:19.637603392+00:00,1
2025-04-05T16:22:19.638961642+00:00,0
2025-04-05T16:22:19.639344725+00:00,1
2025-04-05T16:22:19.640701183+00:00,0
2025-04-05T16:22:19.641086017+00:00,1
2025-04-05T16:22:19.641570308+00:00,0
2025-04-05T16:22:19.641954558+00:00,1
2025-04-05T16:22:19.643310392+00:00,0
2025-04-05T16:22:19.643695767+00:00,1
2025-04-05T16:22:19.644180725+00:00,0
2025-04-05T16:22:19.644564600+00:00,1
2025-04-05T16:22:19.645048142+00:00,0
2025-04-05T16:22:19.645433017+00:00,1
2025-04-05T16:22:19.645917308+00:00,0
2025-04-05T16:22:19.646301850+00:00,1
2025-04-05T16:22:19.647658183+00:00,0
2025-04-05T16:22:19.648043142+00:00,1
2025-04-05T16:22:19.648527225+00:00,0
2025-04-05T16:22:19.648911683+00:00,1
2025-04-05T16:22:19.649395642+00:00,0
2025-04-05T16:22:19.649780475+00:00,1
2025-04-05T16:22:19.651136975+00:00,0
2025-04-05T16:22:19.651521475+00:00,1
2025-04-05T16:22:19.652006308+00:00,0
2025-04-05T16:22:19.652389850+00:00,1
2025-04-05T16:22:19.653745308+00:00,0
2025-04-05T16:22:19.654131433+00:00,1
2025-04-05T16:22:19.654614725+00:00,0
2025-04-05T16:22:19.655000142+00:00,1
2025-04-05T16:22:19.656355725+00:00,0
2025-04-05T16:22:19.656741475+00:00,1
2025-04-05T16:22:19.657225183+00:00,0
2025-04-05T16:22:19.657609975+00:00,1
2025-04-05T16:22:19.658093683+00:00,0
2025-04-05T16:22:19.658478642+00:00,1
2025-04-05T16:22:19.659834892+00:00,0
2025-04-05T16:22:19.660219850+00:00,1
2025-04-05T16:22:19.661575017+00:00,0
2025-04-05T16:22:19.661961308+00:00,1
2025-04-05T16:22:19.663317225+00:00,0
2025-04-05T16:22:19.663702392+00:00,1
2025-04-05T16:22:19.664185892+00:00,0
2025-04-05T16:22:19.664571142+00:00,1
2025-04-05T16:22:19.665054850+00:00,0
2025-04-05T16:22:19.665439767+00:00,1
2025-04-05T16:22:19.665923225+00:00,0
2025-04-05T16:22:19.666308392+00:00,1
2025-04-05T16:22:19.666791683+00:00,0
2025-04-05T16:22:19.667177058+00:00,1
2025-04-05T16:22:19.667660933+00:00,0
2025-04-05T16:22:19.668045683+00:00,1
2025-04-05T16:22:19.669401683+00:00,0
2025-04-05T16:22:19.669787100+00:00,1
2025-04-05T16:22:19.671142642+00:00,0
2025-04-05T16:22:19.671528100+00:00,1
2025-04-05T16:22:19.672011267+00:00,0
2025-04-05T16:22:19.672396933+00:00,1
2025-04-05T16:22:19.672881475+00:00,0
2025-04-05T16:22:19.673265683+00:00,1
2025-04-05T16:22:19.674621517+00:00,0
2025-04-05T16:22:19.675006767+00:00,1
2025-04-05T16:22:19.676363475+00:00,0
2025-04-05T16:22:19.676748100+00:00,1
2025-04-05T16:22:19.677232058+00:00,0
2025-04-05T16:22:19.677616725+00:00,1
2025-04-05T16:22:19.678100558+00:00,0
2025-04-05T16:22:19.678485392+00:00,1
2025-04-05T16:22:19.678970433+00:00,0
2025-04-05T16:22:19.679353975+00:00,1
2025-04-05T16:22:19.679837433+00:00,0
2025-04-05T16:22:19.680222392+00:00,1
2025-04-05T16:22:19.681579225+00:00,0
2025-04-05T16:22:19.681963642+00:00,1
2025-04-05T16:22:19.682446683+00:00,0
2025-04-05T16:22:19.682832017+00:00,1
2025-04-05T16:22:19.684187558+00:00,0
2025-04-05T16:22:19.684573017+00:00,1
2025-04-05T16:22:19.759596058+00:00,0
2025-04-05T16:22:19.763031850+00:00,1
2025-04-05T16:22:19.764823600+00:00,0
2025-04-05T16:22:19.765209433+00:00,1
2025-04-05T16:22:19.765693975+00:00,0
2025-04-05T16:22:19.766078017+00:00,1
2025-04-05T16:22:19.766562517+00:00,0
2025-04-05T16:22:19.766946725+00:00,1
2025-04-05T16:22:19.768302892+00:00,0
2025-04-05T16:22:19.768687892+00:00,1
2025-04-05T16:22:19.770043892+00:00,0
2025-04-05T16:22:19.770429350+00:00,1
2025-04-05T16:22:19.770914225+00:00,0
2025-04-05T16:22:19.771297892+00:00,1
2025-04-05T16:22:19.772655267+00:00,0
2025-04-05T16:22:19.773039350+00:00,1
