Time [s],Channel 0
2025-04-05T16:24:32.585854400+00:00,1
2025-04-05T16:24:33.968297650+00:00,0
2025-04-05T16:24:33.971733775+00:00,1
2025-04-05T16:24:33.973526400+00:00,0
2025-04-05T16:24:33.973910942+00:00,1
2025-04-05T16:24:33.974394483+00:00,0
2025-04-05T16:24:33.974779567+00:00,1
2025-04-05T16:24:33.975263233+00:00,0
2025-04-05T16:24:33.975648233+00:00,1
2025-04-05T16:24:33.977003483+00:00,0
2025-04-05T16:24:33.977389233+00:00,1
2025-04-05T16:24:33.978745108+00:00,0
2025-04-05T16:24:33.979130275+00:00,1
2025-04-05T16:24:33.979615233+00:00,0
2025-04-05T16:24:33.979998692+00:00,1
2025-04-05T16:24:33.981354775+00:00,0
2025-04-05T16:24:33.981740067+00:00,1
2025-04-05T16:24:33.982223650+00:00,0
2025-04-05T16:24:33.982608692+00:00,1
2025-04-05T16:24:33.983092650+00:00,0
2025-04-05T16:24:33.983477233+00:00,1
2025-04-05T16:24:33.983961108+00:00,0
2025-04-05T16:24:33.984345733+00:00,1
2025-04-05T16:24:33.985700442+00:00,0
2025-04-05T16:24:33.986086608+00:00,1
2025-04-05T16:24:33.986571483+00:00,0
2025-04-05T16:24:33.986955525+00:00,1
2025-04-05T16:24:33.987440025+00:00,0
2025-04-05T16:24:33.987823983+00:00,1
2025-04-05T16:24:33.989180108+00:00,0
2025-04-05T16:24:33.989564942+00:00,1
2025-04-05T16:24:33.990050192+00:00,0
2025-04-05T16:24:33.990433442+00:00,1
2025-04-05T16:24:33.991791317+00:00,0
2025-04-05T16:24:33.992175025+00:00,1
2025-04-05T16:24:33.992659150+00:00,0
2025-04-05T16:24:33.993043858+00:00,1
2025-04-05T16:24:33.994399942+00:00,0
2025-04-05T16:24:33.994784733+00:00,1
2025-04-05T16:24:33.995269275+00:00,0
2025-04-05T16:24:33.995653317+00:00,1
2025-04-05T16:24:33.996137317+00:00,0
2025-04-05T16:24:33.996521525+00:00,1
2025-04-05T16:24:33.997877983+00:00,0
2025-04-05T16:24:33.998262733+00:00,1
2025-04-05T16:24:33.999619192+00:00,0
2025-04-05T16:24:34.000003608+00:00,1
2025-04-05T16:24:34.001359150+00:00,0
2025-04-05T16:24:34.001744817+00:00,1
2025-04-05T16:24:34.002228608+00:00,0
2025-04-05T16:24:34.002613358+00:00,1
2025-04-05T16:24:34.003097775+00:00,0
2025-04-05T16:24:34.003481983+00:00,1
2025-04-05T16:24:34.004838150+00:00,0
2025-04-05T16:24:34.005223275+00:00,1
2025-04-05T16:24:34.005707442+00:00,0
2025-04-05T16:24:34.006091817+00:00,1
2025-04-05T16:24:34.006575942+00:00,0
2025-04-05T16:24:34.006960317+00:00,1
2025-04-05T16:24:34.008316733+00:00,0
2025-04-05T16:24:34.008701733+00:00,1
2025-04-05T16:24:34.010057358+00:00,0
2025-04-05T16:24:34.010443150+00:00,1
2025-04-05T16:24:34.010927483+00:00,0
2025-04-05T16:24:34.011311650+00:00,1
2025-04-05T16:24:34.011795608+00:00,0
2025-04-05T16:24:34.012180192+00:00,1
2025-04-05T16:24:34.013536067+00:00,0
2025-04-05T16:24:34.013921150+00:00,1
2025-04-05T16:24:34.014405108+00:00,0
2025-04-05T16:24:34.014790067+00:00,1
2025-04-05T16:24:34.015274025+00:00,0
2025-04-05T16:24:34.015658608+00:00,1
2025-04-05T16:24:34.016142108+00:00,0
2025-04-05T16:24:34.016527233+00:00,1
2025-04-05T16:24:34.017010817+00:00,0
2025-04-05T16:24:34.017395650+00:00,1
2025-04-05T16:24:34.017879775+00:00,0
2025-04-05T16:24:34.018264150+00:00,1
2025-04-05T16:24:34.019619983+00:00,0
2025-04-05T16:24:34.020005233+00:00,1
2025-04-05T16:24:34.020489483+00:00,0
2025-04-05T16:24:34.020874275+00:00,1
2025-04-05T16:24:34.022229442+00:00,0
2025-04-05T16:24:34.022614900+00:00,1
2025-04-05T16:24:34.097630858+00:00,0
2025-04-05T16:24:34.101066733+00:00,1
