Time [s],Channel 0
2025-04-05T16:23:52.431978700+00:00,1
2025-04-05T16:23:54.627292158+00:00,0
2025-04-05T16:23:54.630727992+00:00,1
2025-04-05T16:23:54.632520117+00:00,0
2025-04-05T16:23:54.632905033+00:00,1
2025-04-05T16:23:54.633389117+00:00,0
2025-04-05T16:23:54.633773533+00:00,1
2025-04-05T16:23:54.634257242+00:00,0
2025-04-05T16:23:54.634641825+00:00,1
2025-04-05T16:23:54.635998117+00:00,0
2025-04-05T16:23:54.636382700+00:00,1
2025-04-05T16:23:54.637737533+00:00,0
2025-04-05T16:23:54.638123617+00:00,1
2025-04-05T16:23:54.638607700+00:00,0
2025-04-05T16:23:54.638992325+00:00,1
2025-04-05T16:23:54.640348825+00:00,0
2025-04-05T16:23:54.640733283+00:00,1
2025-04-05T16:23:54.641216492+00:00,0
2025-04-05T16:23:54.641601950+00:00,1
2025-04-05T16:23:54.642085950+00:00,0
2025-04-05T16:23:54.642470450+00:00,1
2025-04-05T16:23:54.642954575+00:00,0
2025-04-05T16:23:54.643339033+00:00,1
2025-04-05T16:23:54.644694783+00:00,0
2025-04-05T16:23:54.645080117+00:00,1
2025-04-05T16:23:54.645563950+00:00,0
2025-04-05T16:23:54.645948908+00:00,1
2025-04-05T16:23:54.646432492+00:00,0
2025-04-05T16:23:54.646817408+00:00,1
2025-04-05T16:23:54.648172825+00:00,0
2025-04-05T16:23:54.648558533+00:00,1
2025-04-05T16:23:54.649042783+00:00,0
2025-04-05T16:23:54.649427450+00:00,1
2025-04-05T16:23:54.650783325+00:00,0
2025-04-05T16:23:54.651167992+00:00,1
2025-04-05T16:23:54.651651867+00:00,0
2025-04-05T16:23:54.652036242+00:00,1
2025-04-05T16:23:54.653392492+00:00,0
2025-04-05T16:23:54.653776992+00:00,1
2025-04-05T16:23:54.654260950+00:00,0
2025-04-05T16:23:54.654645908+00:00,1
2025-04-05T16:23:54.655129617+00:00,0
2025-04-05T16:23:54.655514450+00:00,1
2025-04-05T16:23:54.656869825+00:00,0
2025-04-05T16:23:54.657255450+00:00,1
2025-04-05T16:23:54.658610450+00:00,0
2025-04-05T16:23:54.658996492+00:00,1
2025-04-05T16:23:54.660352700+00:00,0
2025-04-05T16:23:54.660737825+00:00,1
2025-04-05T16:23:54.661222325+00:00,0
2025-04-05T16:23:54.661606325+00:00,1
2025-04-05T16:23:54.662090575+00:00,0
2025-04-05T16:23:54.662475200+00:00,1
2025-04-05T16:23:54.663830908+00:00,0
2025-04-05T16:23:54.664216200+00:00,1
2025-04-05T16:23:54.665573367+00:00,0
2025-04-05T16:23:54.665957242+00:00,1
2025-04-05T16:23:54.666441367+00:00,0
2025-04-05T16:23:54.666825825+00:00,1
2025-04-05T16:23:54.667311575+00:00,0
2025-04-05T16:23:54.667694283+00:00,1
2025-04-05T16:23:54.669050950+00:00,0
2025-04-05T16:23:54.669435200+00:00,1
2025-04-05T16:23:54.670790950+00:00,0
2025-04-05T16:23:54.671176492+00:00,1
2025-04-05T16:23:54.671661242+00:00,0
2025-04-05T16:23:54.672045158+00:00,1
2025-04-05T16:23:54.673400700+00:00,0
2025-04-05T16:23:54.673786367+00:00,1
2025-04-05T16:23:54.674271242+00:00,0
2025-04-05T16:23:54.674654992+00:00,1
2025-04-05T16:23:54.676009908+00:00,0
2025-04-05T16:23:54.676395908+00:00,1
2025-04-05T16:23:54.676881658+00:00,0
2025-04-05T16:23:54.677264617+00:00,1
2025-04-05T16:23:54.678620825+00:00,0
2025-04-05T16:23:54.679005700+00:00,1
2025-04-05T16:23:54.679489825+00:00,0
2025-04-05T16:23:54.679874283+00:00,1
2025-04-05T16:23:54.680359200+00:00,0
2025-04-05T16:23:54.680742783+00:00,1
2025-04-05T16:23:54.681227367+00:00,0
2025-04-05T16:23:54.681611408+00:00,1
2025-04-05T16:23:54.682966700+00:00,0
2025-04-05T16:23:54.683352158+00:00,1
2025-04-05T16:23:54.758371575+00:00,0
2025-04-05T16:23:54.761809075+00:00,1
2025-04-05T16:23:54.763601242+00:00,0
2025-04-05T16:23:54.763985783+00:00,1
2025-04-05T16:23:54.764469908+00:00,0
2025-04-05T16:23:54.764854492+00:00,1
2025-04-05T16:23:54.765339325+00:00,0
2025-04-05T16:23:54.765723117+00:00,1
2025-04-05T16:23:54.767079700+00:00,0
2025-04-05T16:23:54.767464158+00:00,1
2025-04-05T16:23:54.768821075+00:00,0
2025-04-05T16:23:54.769205158+00:00,1
2025-04-05T16:23:54.769689075+00:00,0
2025-04-05T16:23:54.770073575+00:00,1
2025-04-05T16:23:54.771429283+00:00,0
2025-04-05T16:23:54.771815283+00:00,1
2025-04-05T16:23:54.772300033+00:00,0
2025-04-05T16:23:54.772683992+00:00,1
2025-04-05T16:23:54.773167450+00:00,0
2025-04-05T16:23:54.773552700+00:00,1
2025-04-05T16:23:54.774037158+00:00,0
2025-04-05T16:23:54.774421325+00:00,1
2025-04-05T16:23:54.775777700+00:00,0
2025-04-05T16:23:54.776163033+00:00,1
2025-04-05T16:23:54.776647200+00:00,0
2025-04-05T16:23:54.777031867+00:00,1
2025-04-05T16:23:54.777515742+00:00,0
2025-04-05T16:23:54.777900867+00:00,1
2025-04-05T16:23:54.779257783+00:00,0
2025-04-05T16:23:54.779642283+00:00,1
2025-04-05T16:23:54.780126700+00:00,0
2025-04-05T16:23:54.780511117+00:00,1
2025-04-05T16:23:54.781867533+00:00,0
2025-04-05T16:23:54.782252700+00:00,1
2025-04-05T16:23:54.782737908+00:00,0
2025-04-05T16:23:54.783121450+00:00,1
2025-04-05T16:23:54.784478117+00:00,0
2025-04-05T16:23:54.784862533+00:00,1
2025-04-05T16:23:54.785347492+00:00,0
2025-04-05T16:23:54.785731617+00:00,1
2025-04-05T16:23:54.786215825+00:00,0
2025-04-05T16:23:54.786600783+00:00,1
2025-04-05T16:23:54.787957242+00:00,0
2025-04-05T16:23:54.788342367+00:00,1
2025-04-05T16:23:54.789698325+00:00,0
2025-04-05T16:23:54.790084450+00:00,1
2025-04-05T16:23:54.791439908+00:00,0
2025-04-05T16:23:54.791826158+00:00,1
2025-04-05T16:23:54.792311283+00:00,0
2025-04-05T16:23:54.792695492+00:00,1
2025-04-05T16:23:54.793179575+00:00,0
2025-04-05T16:23:54.793564700+00:00,1
2025-04-05T16:23:54.794922408+00:00,0
2025-04-05T16:23:54.795307033+00:00,1
2025-04-05T16:23:54.796663617+00:00,0
2025-04-05T16:23:54.797048617+00:00,1
2025-04-05T16:23:54.797533908+00:00,0
2025-04-05T16:23:54.797917575+00:00,1
2025-04-05T16:23:54.798401075+00:00,0
2025-04-05T16:23:54.798786908+00:00,1
2025-04-05T16:23:54.800143408+00:00,0
2025-04-05T16:23:54.800528575+00:00,1
2025-04-05T16:23:54.801885492+00:00,0
2025-04-05T16:23:54.802270075+00:00,1
2025-04-05T16:23:54.802754825+00:00,0
2025-04-05T16:23:54.803139158+00:00,1
2025-04-05T16:23:54.804496617+00:00,0
2025-04-05T16:23:54.804880867+00:00,1
2025-04-05T16:23:54.805366283+00:00,0
2025-04-05T16:23:54.805750242+00:00,1
